,act,context,onset,offset,inter_scale,target,predictability,agent_H_NH,main_effector,eff_visibility,act_label,obj_label,run,sociality,dinamicity,durativity,telicity,iterativity,transitivity,multi_ag_vs_jointact,tool_mediated,faces,ToM,touch,EBL,EIA,gesticolare,simbolic_gestures,people_present,rater
433,act_434,2,02:51.7,03:01.2,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,LT
434,act_435,2,02:52.8,02:56.3,0,0,0,1,3,1,appendere,quadro ,3,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,LT
435,act_436,2,03:01.4,03:02.7,0,2,0,1,6,1,baciare,gota,3,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,LT
436,act_437,2,03:04.0,03:07.3,1,0,0,1,2,1,spostare,quadro ,3,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,LT
437,act_438,2,03:04.0,03:06.0,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,LT
438,act_439,2,03:06.1,03:13.5,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,LT
439,act_440,2,03:09.8,03:13.5,0,0,0,1,1,0,sfogliare ,fotografie,3,0,1,1,0,1,1,0,0,1,0,2,0,0,0,0,0,LT
440,act_441,2,03:15.1,03:15.7,0,2,0,1,6,1,domandare,donna,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,LT
441,act_442,2,03:15.9,03:45.4,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,LT
442,act_443,2,03:15.9,03:18.2,0,0,1,1,1,1,sbucciare,mela ,3,0,1,1,0,0,1,0,1,1,0,2,0,0,0,0,0,LT
443,act_444,2,03:45.2,03:47.2,0,0,1,1,6,1,mangiare,mela ,3,0,1,1,0,0,1,0,0,1,0,2,0,0,0,0,0,LT
444,act_445,2,03:47.3,03:54.2,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,LT
445,act_446,2,03:57.5,04:00.7,0,2,0,0,7,1,appoggiarsi,grembo,3,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,LT
446,act_447,2,04:00.1,04:02.4,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,LT
447,act_448,2,04:00.5,04:02.7,0,3,0,1,1,1,accarezzare,cane,3,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,LT
448,act_449,2,04:03.2,04:05.2,0,2,0,1,6,1,esclamare,donna,3,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,LT
449,act_450,2,04:05.1,04:05.6,0,2,0,1,7,1,scuotere ,testa,3,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,LT
450,act_451,2,04:06.0,04:07.0,0,2,0,1,6,1,domandare,donna,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,LT
451,act_452,2,04:09.6,04:10.5,0,2,0,0,7,1,annuire,donna,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,LT
452,act_453,2,04:11.5,04:14.6,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,LT
453,act_454,1,04:25.9,04:28.3,1,4,0,1,5,1,camminare,,3,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,1,LT
454,act_455,1,04:25.9,04:28.3,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,LT
455,act_456,1,04:25.9,04:28.3,1,4,0,0,5,1,camminare,,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,LT
456,act_457,1,04:28.6,04:28.9,0,2,0,1,6,1,domandare,donna,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,LT
457,act_458,1,04:29.3,04:31.3,0,0,1,1,2,1,aprire,porta,3,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,LT
458,act_459,2,04:32.3,04:34.6,0,0,1,1,3,1,togliersi,cappotto,3,0,1,1,1,0,1,0,0,1,0,2,1,0,0,0,0,LT
459,act_460,2,04:33.3,04:34.9,0,0,1,1,2,1,chiudere,porta,3,0,1,0,1,0,1,0,0,1,0,2,0,0,0,0,0,LT
460,act_461,2,04:34.7,04:35.9,0,0,1,1,3,1,appendere,cappotto,3,0,1,1,1,0,1,0,0,1,0,2,1,0,0,0,0,LT
461,act_462,2,04:39.1,04:40.0,0,2,0,1,6,1,salutare ,donna,3,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,LT
462,act_463,2,04:39.2,04:39.7,0,0,0,1,1,1,sfogliare ,fogli ,3,0,1,1,0,1,1,0,0,1,0,2,0,0,0,0,0,LT
463,act_464,2,04:40.4,04:42.1,0,2,0,1,6,1,salutare ,donna,3,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,LT
464,act_465,2,04:42.9,04:44.6,0,2,1,1,3,1,abbracciare ,donna,3,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,LT
465,act_466,2,04:44.0,04:44.6,0,2,0,1,6,1,baciare,gota,3,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,LT
466,act_467,2,04:47.0,04:53.5,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,LT
467,act_468,2,04:53.4,04:56.1,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,LT
468,act_469,2,04:55.7,04:59.1,0,2,0,1,0,1,porgere,mano,3,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,LT
469,act_470,2,04:56.3,04:57.4,0,2,0,1,6,1,parlare,uomo,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,LT
470,act_471,2,04:57.5,04:59.2,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,LT
471,act_472,2,04:59.3,05:02.7,0,2,0,1,6,1,parlare,uomo,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,LT
472,act_473,2,05:03.1,05:05.2,0,2,0,1,6,1,parlare,donna,3,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,LT
